id,name,categories,provinces,primaryType,rating,reviewsCount,address,phone,website,googleMapsUrl,lat,lng,priceHint,hours,plusCode
"da597921e40e6c1e","'L Primero Cafe","food","Sorsogon","","4.8","24","4.8(24)","","","https://www.google.com/maps/place/%27%27L+Primero+Cafe%27/data=!4m7!3m6!1s0x33a0ef4e1047a055:0xda597921e40e6c1e!8m2!3d12.9844476!4d123.9951682!16s%2Fg%2F11qh34p8dn!19sChIJVaBHEE7voDMRHmwO5CF5Wdo?authuser=0&hl=en&rclk=1","12.9844476","123.9951682","₱200–400","Closed · Opens 10:30 AM Sun",""
"6fb1aeead8f699c2","1128 Tea & Cafe","food","Camarines Norte","","3","1","3.0(1)","","","https://www.google.com/maps/place/1128+Tea+%26+Cafe/data=!4m7!3m6!1s0x3398af419fb3641f:0x6fb1aeead8f699c2!8m2!3d14.1114318!4d122.955831!16s%2Fg%2F11t_snm_dz!19sChIJH2Szn0GvmDMRwpn22OqusW8?authuser=0&hl=en&rclk=1","14.1114318","122.955831","","Open · Closes 9 PM",""
"5710c1becea5336c","1128 Tea & Cafe -Old Albay, Legazpi City Branch","food","Albay","Cafe","5","1","5.0(1)","","","https://www.google.com/maps/place/1128+Tea+%26+Cafe+-Old+Albay,+Legazpi+City+Branch/data=!4m7!3m6!1s0x33a103a7d1ddf6b7:0x5710c1becea5336c!8m2!3d13.1369803!4d123.7333338!16s%2Fg%2F11svcqm3zp!19sChIJt_bd0acDoTMRbDOlzr7BEFc?authuser=0&hl=en&rclk=1","13.1369803","123.7333338","","Open · Closes 10:30 PM",""
"c4e3b9b8e1b35c32","1128 Tea & Cafe Centro Masbate","food","Masbate","Cafe","","","9J9F+CFV, Rosero St","","","https://www.google.com/maps/place/1128+Tea+%26+Cafe+Centro+Masbate/data=!4m7!3m6!1s0x33a6db5673d1b25b:0xc4e3b9b8e1b35c32!8m2!3d12.3686084!4d123.6236649!16s%2Fg%2F11y3c9k2ky!19sChIJW7LRc1bbpjMRMlyz4bi548Q?authuser=0&hl=en&rclk=1","12.3686084","123.6236649","","",""
"e729f12a0303cc2c","11th Earth Resort","resorts|staycations|hotels","Albay|Camarines Sur|Camarines Norte","Resort hotel","4.1","207","4.1(207)","","","https://www.google.com/maps/place/11th+Earth+Resort/data=!4m10!3m9!1s0x33a19b0d7df9d9c5:0xe729f12a0303cc2c!5m2!4m1!1i2!8m2!3d13.3992255!4d123.3116821!16s%2Fg%2F11l889b3bc!19sChIJxdn5fQ2boTMRLMwDAyrxKec?authuser=0&hl=en&rclk=1","13.3992255","123.3116821","","",""
"b14dc4ba30d6f6f5","1327 Hub","food","Camarines Norte","","4.3","44","4.3(44)","","","https://www.google.com/maps/place/1327+Hub/data=!4m7!3m6!1s0x3398ae5a2892197d:0xb14dc4ba30d6f6f5!8m2!3d14.1147095!4d122.9571798!16s%2Fg%2F11cmnpr7f_!19sChIJfRmSKFqumDMR9fbWMLrETbE?authuser=0&hl=en&rclk=1","14.1147095","122.9571798","","Open · Closes 9 PM",""
"cf5b0ee85a04838e","151 STREET CAFE","food","Sorsogon","Cafe","4.3","3","4.3(3)","","","https://www.google.com/maps/place/151+STREET+CAFE/data=!4m7!3m6!1s0x33a0ef3d63437729:0xcf5b0ee85a04838e!8m2!3d12.9691299!4d123.9983648!16s%2Fg%2F11y0qjz9l3!19sChIJKXdDYz3voDMRjoMEWugOW88?authuser=0&hl=en&rclk=1","12.9691299","123.9983648","","Open · Closes 8:30 PM",""
"e258c1bcd9fabe52","158 Food Street","food","Camarines Sur","Restaurant","5","10","5.0(10)","","","https://www.google.com/maps/place/158+Food+Street/data=!4m7!3m6!1s0x33a197194ac53ce1:0xe258c1bcd9fabe52!8m2!3d13.4564321!4d123.3663099!16s%2Fg%2F11s7nq1lv7!19sChIJ4TzFShmXoTMRUr762bzBWOI?authuser=0&hl=en&rclk=1","13.4564321","123.3663099","","Closed · Opens 5 PM",""
"21d7e89a51196cb4","161 Coffee","food","Camarines Sur","· GF, Sundaze Hotel, 1","4.8","6","4.8(6)","","","https://www.google.com/maps/place/161+Coffee/data=!4m7!3m6!1s0x33a18d000a8e40b9:0x21d7e89a51196cb4!8m2!3d13.6216152!4d123.2081263!16s%2Fg%2F11vwff545v!19sChIJuUCOCgCNoTMRtGwZUZro1yE?authuser=0&hl=en&rclk=1","13.6216152","123.2081263","","Open · Closes 7 PM",""
"8f3563800956a6fc","1995 Studio Cafe - Sorsogon","food","Sorsogon","","4.7","20","4.7(20)","","","https://www.google.com/maps/place/1995+Studio+Cafe+-+Sorsogon/data=!4m7!3m6!1s0x33a0ef0011b7c25b:0x8f3563800956a6fc!8m2!3d12.9737987!4d124.00813!16s%2Fg%2F11vwn8q5yj!19sChIJW8K3EQDvoDMR_KZWCYBjNY8?authuser=0&hl=en&rclk=1","12.9737987","124.00813","","",""
